"","NCHALO","MULOZA","NTAJA","MONKEY.BAY","NKHOTAKOTA","RUMPHI","CHILUMBA","NTHALIRE","NSANJE","PHALOMBE","NENO","MANGOCHI","LIWONDE","SANTHE","MKANDA","NTCHISI","NSUNDWE","MITUNDU","MWANSAMBO","CHAMAMA","NKHOMA","MALOMO","KASUNGU","THETE","NGABU","BANGULA","CHIKWAWA","LIMBE","CHIRADZULU","LUNZU","MWANZA","BVUMBWE","LUCHENZA","MISUKU","KARONGA","CHITIPA","MTAKATAKA","NANJIRI","DWANGWA","LIZULU","SALIMA","NAMBUMA","BOWE","MADISI","MPONELA","DOWA","NKHAMENYA","JENDA","LILONGWE","MCHINJI","TSANGANO.TURN.OFF","MZUZU","MZIMBA","MPAMBA","NKHATABAY","CHINTHECHE","NTONDA","NTCHEU","BALAKA","JALI","MIGOWI","ZOMBA","NAMWERA","THONDWE","HEWE","CHATOLOMA","KASIYA","CHIMBIYA","BEMBEKE.TURN.OFF","SHARPEVALEY","MAYAKA","EMBANGWENI"
"201112",54.55,44.12,38.66,36.46,46.55,39.2,43.72,26.86,51.4,43.97,35.2,36.46,40.83,48.245,39.24,37.37,38.09,33.75,28.75,35,38.41,35,36.03,37.625,54.55,54.55,51.28,44.45,55,37.2,35.2,32.4,32.4,26.86,47.51,35.41,39.18,35.2,34.61,39.18,40.05,32.18,38,38,40,30.2,38.41,38.41,44,39.24,39.8,47.36,29.8,27.2,30.2,30.2,38.57,41.03,38.57,46.82,43.97,46.82,36.46,46.82,39.2,30.3,32.18,38.73,39.18,41.03,34.1,38.41
"201201",56.82,68.815,51.22,50.81,57.23,49.94,54.35,34.11,73.295,55.055,61.35,51.62,60.36,53.44,51.34,59.945,75.45,50,52.11,54.41,50.015,54.41,46.08,61.46,58.48,58.48,56.82,90.18,67.67,60.21,61.35,90.18,65.58,28.765,70.22,45.09,50,55.47,64.79,53.95,70,22.23,54.41,54.41,38.32,49.7,52.05,43.06,70,51.34,60,47.77,44.4,38.22,55.56,45.44,60,57.42,65.11,53.6,55.055,50.195,51.62,53.6,49.94,50.015,70,52.1,50,57.42,43.2,30.755
"201202",57.93,47.315,45.23,63.21,50,50.45,47.905,35.46,62.495,49.48,50,53.81,49.32,49.72,55.53,47.75,38.785,52.7,56.35,65,41.56,42.75,45.41,55,66.58,66.58,55.55,72.18,57.78,49.55,64.7,70.13,57.5,30.56,64.605,40.405,63.21,53.89,62.93,50.19,69.94,41.32,46,46,52.545,50.025,64.255,48.12,66,41.43,59.775,54.74,52.25,47.25,45.55,53.32,60,48.18,69.34,49.82,49.48,57.275,52.07,53.2,50.45,50.575,41.32,40.48,45,48.18,59.16,33.78
"201203",42.925,41.98,29.3,48.145,49.88,59.97,48.56,35.62,51.3,38.31,42.22,52.3,44.21,37.18,29.505,45.62,30.165,47.95,61.11,62.5,39.22,53.5,45.52,45,40.29,40.29,55.55,74.505,41.67,49.75,54.42,55.305,48.805,32.49,65.72,39.17,48.145,53.31,63.66,44.555,55.24,38.245,48,48,45,45.04,60.19,38.685,56,29.505,59.8,48.085,52.575,50.585,45,56.47,40,42.515,70.23,38.85,38.31,43.595,46.745,49.33,59.97,51.87,38.245,45,44.555,42.515,60.205,33.25
"201204",40.45,34.79,30.38,47.915,45,56.7,51.22,43.785,43.79,44.4,30,50.83,34.62,28,29.435,42.43,28.08,36.2,22.5,48.5,35,48.5,41.75,35,43.79,43.79,40.45,52.45,44.44,40.8,44.3,50.97,46.83,33.34,43.785,35.9,45,34.095,51.74,34.19,47.65,24.54,28,28,38.88,42.025,35,36.715,51.74,29.435,52.1,54.2,35.24,33.38,45,50.99,40,34.25,60.71,39.26,44.4,36.66,50.83,39.26,56.7,35,24.54,45.12,45,34.25,59.92,25.35
"201205",49.44,37.53,30.21,40.54,40,30.38,38.21,38.93,46.82,37.53,31.54,46.15,36.84,25,30.62,38.17,22.47,43.21,17.5,42.5,31.22,42.5,36.86,35,46.82,46.82,49.44,49.9,33.33,45.1,36.2,50.49,48.94,31.64,38.93,33.58,40.54,28.24,43.21,33.82,32.1,24.44,25,25,36.01,36.01,31.22,25.02,50,30.62,37.94,33.41,38.66,33.41,45,52.47,38.55,38.57,60.12,56.5,47.015,34.55,46.15,56.5,30.38,31.22,24.44,40.62,45,38.57,56.5,22.71
"201206",58.76,55.46,51.1,65.485,51.625,40.81,26.96,54.95,61.415,55.97,40.66,53.66,41.115,49.375,49.295,48.01,36.18,36.65,38.75,31.1,37.33,48.01,43.85,55,65.055,65.055,76.08,53,53.34,66.1,37.95,50.29,57.505,24.11,54.95,35.465,65.485,36.89,54.48,43.755,70,43.695,50,50,55.585,55,35.05,38.33,60,49.295,41.95,48.71,39.45,34.63,45,57.06,53.505,56.555,62.715,47.215,55.97,40.28,39.64,55.19,40.81,45.08,43.695,48.675,42.5,56.555,51.6,28.475
"201207",72.73,64.19,54.075,66.31,66.67,48.22,52.73,68.93,73.23,75.05,56.725,58.04,54.075,47.625,50.43,46.64,36.04,42,50,48.75,38.84,52.795,44.665,50.66,63.185,63.185,72,74.19,61.665,59.6,58.5,70.81,65.58,24.26,68.93,40.315,66.31,39.97,71.67,47.69,70.86,51.48,44.25,44.25,52.28,55,47.105,42.64,60,50.43,56.755,61.11,45.1,43.04,45,58.71,60,59.49,65.175,54.975,75.05,55.55,58.04,56.155,40.96,38.84,51.48,52.64,50,59.49,60.525,38.15
"201208",73.745,70.03,62.85,68.74,66.155,59.215,54.98,68.595,71.45,79.81,63.02,58.21,56.21,46.5,53.81,50.03,34.915,39.81,49.605,46.25,39.205,52.855,37.5,51.165,61.47,61.47,72,73.015,54.415,59.72,61.75,79.62,66.8,26.28,68.595,41.835,68.74,38.71,67.26,51.175,60.5,56.65,40.5,40.5,56.65,50.02,46.9,45.205,65,53.81,56.24,63.97,50.475,50.055,45,60.66,60,56.185,68.295,61.64,79.81,65.01,58.21,59.13,41.935,40.785,56.65,52.24,45.5,56.185,59.13,42.085
"201209",62.3,69.52,58.22,67.35,70,61.18,56.44,66.28,75.575,80.165,59.935,64.02,62.44,47,55.185,47.39,38.86,40.86,40,51.5,42.195,51.5,40,51.66,62.3,62.3,72,72.5,70.5,59.67,70,70.59,66.47,28.705,66.28,45.67,65.89,38.72,77.91,52.03,60.025,54.87,43,43,54.87,52.5,45.63,46.205,70,55.185,60.425,59.645,54.975,56.49,50,60.525,62.5,56.57,64.445,62.355,80.165,72.5,47.05,59.895,42.025,43.15,54.87,52.39,50,56.57,59.895,46.205
"201210",64.045,69.86,63.335,60.25,65.83,68.63,68.75,73.86,73.615,77.5,71.6,70,63.335,47.5,55.67,52.65,46.19,43.1,48.455,42.75,40.72,52.65,47.55,55,65.05,65.05,72.33,73.66,70.59,58.5,71.6,70.84,65.86,30.81,73.86,47.21,50,39.315,78.71,54.52,60.24,58.59,47,47,58.59,49.99,45.37,48.43,70,55.67,61.24,63.765,57.55,59.26,50,61.14,60,63.5,68.52,66.85,77.5,72.5,57.075,64.71,44.19,46.19,58.59,53.41,50,63.5,64.71,43.28
"201211",67.38,56.665,42.86,78.245,79.22,56.135,70.99,70.99,72.5,61.29,65,71.825,51.7,75.11,57.5,53.085,74.29,44.59,42.755,60.78,74.61,88.88,67.215,56.135,64.665,61.335,67.38,58.74,54.785,79.75,37.64,59.78,75,70,70.495,60,59.56,36.705,53.5,57.085,43.02,65.945,68,46.33,46.33,67.39,75.92,61.63,36.705,55.225,59.88,73.48,71.715,61.705,75,50.39,44.81,72.35,66.92,51,71.355,64.41,73.445,80.9,56.135,66.51,65.675,72.14,76.895,80,41.96,71.715
"201212",78.65,89.4,69.04,85.225,65.17,81.15,81.11,68.675,91.91,87.5,79.81,96.835,69.04,60,73.83,67.51,64.265,55.32,63.33,56.5,43.885,56.5,50.1925,70,78.65,78.65,93.83,100.81,92.14,84.5,81.2,100.81,81.92,40.62,104.65,56.48,78.24,56.945,87.57,76.375,78.24,45.89,60,60,61.43,50.05,51.53,63.16,80,73.83,65.14,90.91,62.3,56.2,67.5,62.42,81.25,81.25,70.86,83.955,87.5,88.2,96.835,72.575,81.15,43.885,45.89,72.65,57.5,81.25,90.01,45.15
"201301",94.38,99.82,92.05,103.13,110,105.46,128.795,99.99,116.86,100,88.95,100.69,92.05,78.4,91.48,71.475,59.955,77.19,88.09,94.44,63.1,80.375,75,83.665,94.38,94.38,110.165,95.64,95,94.445,93.29,95.64,96.82,61.11,123.905,101.215,93.39,68.74,111.37,83.845,85.22,67.12,82,82,83.33,67.2,89.575,94.63,90,91.48,92.21,105.96,91,68.45,90,76.775,76.25,94.845,81.435,98.87,100,95.2,100.69,91.265,88.89,85.47,106.57,85.38,72.5,94.845,93.575,91.77
"201302",115.73,109.15,128.36,138.855,129.775,152.025,133.415,108.06,139.765,150,109.6,145.315,128.36,130,87.75,75.15,69.09,100,109.71,88.5,68,88.5,63.36,90,115.73,115.73,138.345,140.64,135,128.26,109.6,140.64,134.86,91.24,127.77,102.705,101.09,121.775,166.7,91.66,150.505,69.4,145,145,89.62,82.525,95.395,106.165,127.5,87.75,95.88,113.77,93.41,68.54,99,131.73,85.755,138.89,117.06,106.44,150,99.015,145.315,99.55,90.2,63.36,143.62,124.12,75,138.89,138.75,90.08
"201303",144.44,180.42,115.325,147.565,140,178.745,156.67,140.23,105.86,145,105.26,124.51,118.5,90,98.525,173.85,113.86,110,178.16,164.03,75,163.335,175.47,155,144.44,144.44,140,110,200,155.7,143.7,140.73,141.63,106.15,165.71,114.58,102.39,108.42,151.76,116.415,160.05,141.92,180,180,95.665,82.725,157.61,120.71,165,98.525,110.4,172.38,98.75,88.89,131,120.695,95.55,170.76,181.34,91.29,145,120.49,124.51,129.03,108.1,175.47,176.51,150.44,100,170.76,134.72,96.96
"201304",89.525,79.25,90.09,94.44,125,143.59,78.53,111.08,78.24,79.25,96.45,87.605,101.35,100,81.77,102.45,87.315,114,102.45,88.725,93.65,102.45,75,60,89.525,78.24,100.81,90.45,96.45,96.45,62.505,100.81,91.52,90.37,76.12,102.17,91.005,130,80.49,100.03,100.05,100,102.45,101.225,100,75.8,60.08,90.735,130,81.77,62.505,129.4,125.045,91.46,115,99.435,62.505,87.74,62.505,65.83,72.54,81.4,87.605,65.83,143.59,93.65,100,110.305,110,87.74,65.83,85.5
"201305",84.27,78.865,85.33,89,100,136.585,49.285,83.04,80.79,78.865,70,85.33,98.41,67.5,78.26,101.475,63.215,98.13,101.475,101.475,75.66,101.475,70,72.5,84.27,84.27,84.27,87.325,80.45,92.965,70,80.64,83.565,61.43,78.245,99.06,86.78,106.905,79.385,90.505,95.025,66.96,101.475,84.2175,66.96,66.96,62.855,62.855,110,78.26,78.68,110.745,125.59,110.745,99.25,101.225,80,73.975,68.655,74.15,76.5075,79.45,87.4375,74.15,84.29,75.66,66.96,89.545,80,73.975,65.91,62.855
"201306",89.89,84.28,77.35,89,100,130.46,92.04,70.235,96.9,95.8,75,93.56,92.5,90,88.545,77.72,80.64,92.5,77.72,72.5,67.32,91.03,80,96.67,89.89,89.89,89.89,100.08,88,90.395,85.5,80.97,91.32,46.25,84.8,95.92,90.07,105.56,125.29,85.1,100.035,81.5,91.03,96.765,102.5,77.51,71.265,83.1,110,88.545,70.42,113.08,128.95,85.21,100,93.46,90.5,81.18,79.52,78.24,95.8,114.55,77.285,80.915,84.8,85.525,75,85.44,85,81.18,78.015,75.025
"201307",102.36,111.155,72.83,88.23,120,169.86,100.77,101.64,120.115,105.15,94.25,99.35,91.075,107.5,110.57,95.835,92.94,95,95.835,90,74.175,110.5,85,110,102.36,102.36,87.91,105.16,90.91,118.68,94.25,90.925,113.27,50.22,92.5,98.07,95.43,110.11,112.42,91.16,100.2,98.56,110.5,110.895,111.29,105.5,96.96,98.48,112.42,110.57,75.41,104.64,128.72,102.925,100,102.09,90.5,99.635,82.9,96.84,105.15,115.67,86.205,105.88,94.2,91.85,90,106.105,95.43,99.635,86.67,75.25
"201308",119.36,122.0525,91.52,89.73,125,157.7325,116.37,96.985,119.6925,117.575,93.34,109.28,119.9,102.7,107.795,114.1925,99.82,106.7825,114.1925,88.75,85.4075,121.525,93.335,108.5,119.36,119.36,112.135,112.7,98.03,124.2525,112.125,105.5825,118.2225,65.715,106.0025,102.15,114.2825,109.56,132.095,98.4725,105.185,106.1575,121.525,112.685,103.845,100.375,96.485,104.09,126.21,107.795,86.8375,118.185,129.035,111.4625,114.25,114.8875,124,107.0875,100.1675,97.75,117.575,118.945,88.9475,105.63,94.145,94.245,87,107.065,97.715,102.505,96.025,90.125
"201309",136.36,132.95,110.21,91.23,130,145.605,131.97,92.33,119.27,130,92.43,119.21,148.725,97.9,105.02,132.55,106.7,118.565,132.55,87.5,96.64,132.55,101.67,107,136.36,136.36,136.36,120.24,105.15,129.825,130,120.24,123.175,81.21,119.505,106.23,133.135,109.01,151.77,105.785,110.17,113.755,132.55,114.475,96.4,95.25,96.01,109.7,140,105.02,98.265,131.73,129.35,120,128.5,127.685,157.5,114.54,117.435,98.66,130,122.22,91.69,105.38,94.09,96.64,84,108.025,100,105.375,105.38,105
"201310",131.04,131.51,129.71,121.725,127.5,135.24,133.49,108.23,121.175,130.035,113.3125,134.21,148.9675,108.95,111.485,119.7075,112.495,112.2675,119.7075,97.1825,100.755,119.7075,103.76875,111.625,131.04,131.04,131.04,125.48,117.935,130.2725,134.125,125.48,125.0075,86.785,121.8175,100.0675,120.3175,114.7275,143.82,111.985,108.835,97.5125,121.275,112.2375,103.2,97.8,100.44,106.43,140,111.485,106.8475,130.2525,129.9425,124.3875,128.6375,128.83,141.2525,112.1675,121.22,108.515,130.035,120.295,112.09,111.875,83.445,100.755,82.635,111.8975,103.75,107.585,111.875,100.475
"201311",125.72,130.07,149.21,152.22,125,124.875,135.01,124.13,123.08,130.07,134.195,149.21,149.21,120,117.95,106.865,118.29,105.97,106.865,106.865,104.87,106.865,105.8675,116.25,125.72,125.72,125.72,130.72,130.72,130.72,138.25,130.72,126.84,92.36,124.13,93.905,107.5,120.445,135.87,118.185,107.5,81.27,110,110,110,100.35,104.87,103.16,140,117.95,115.43,128.775,130.535,128.775,128.775,129.975,125.005,109.795,125.005,118.37,130.07,118.37,132.49,118.37,72.8,104.87,81.27,115.77,107.5,109.795,118.37,95.95
"201312",134.41,159.08,138,160.745,127.5,132.435,142.69,86.11,131.09,150,136.905,135.615,138,160,160,97.59,148.41,114.865,120.35,114.775,122.495,114.775,136.385,136.25,134.41,131.09,137.73,137.73,150.66,161.19,140,137.73,135.86,96.69,86.11,101.74,145.32,125.325,144.63,127.16,145.32,132.86,110,110,110,95.5,109.825,112.62,139.9,134.625,140.23,104.825,130.68,104.825,127.45,125.95,160,141.485,140.5,96.44,150,120.3,135.615,88.7,61.25,136.385,109.25,122.17,110.425,130.84,130,105
"201401",157.3,169.52,164.905,165,180,160.62,160.48,116.75,170.47,130,152.1,156.25,165.42,152.5,190.93,139.77,185.87,123.82,141.105,130,148.37,120.45,139.715,127.5,157.3,170.31,157.3,139.28,181,145.02,145.7,155.41,157.285,103.855,141.925,127.195,159.25,170,168.205,157.325,159.25,141.185,127.5,127.5,141,128.75,118.595,122.895,170,190.93,145.205,157.58,134.24,163.375,136.15,149.825,155.25,152.61,168.66,136.37,130,150,144.67,128.74,110.155,139.715,163.76,140.3,130,150,165.34,122.5
"201402",149.82,139.35,173.5,166.33,130,144.715,152.355,133.28,149.82,130,139.16,134.93,173.5,166.77,130.62,98.23,166.77,155.21,85,120,79.87,96.31,128.33,144.715,149.82,149.82,149.82,135.4,123.12,135.62,140,149.82,149.82,107.94,133.28,129.18,136.71,155.21,155.21,150.19,136.71,166.77,96.31,96.31,131.54,143.375,79.87,112.54,155.21,130.62,110.19,136.125,112.54,136.125,136.125,149.83,100.25,128.02,150.375,124.61,130,124.61,134.93,124.61,144.715,79.87,166.77,120.37,150.19,128.02,124.61,112.54
"201403",119.27,101.67,68.21,153.17,90,129.52,136.61,96.26,77.78,60,128.25,110.29,117.85,80,87.77,81.46,109.09,116.74,100.56,108.48,130.84,108.48,71.43,120,119.27,77.78,119.27,109.87,62.14,125.72,128.25,125.26,108.93,103.34,120.18,103.34,110.69,121.24,110.19,111.69,110.69,100,108.48,104.24,100,110.15,80,101.1,120,87.77,102.92,83.33,106.98,134.55,126.52,136.76,80,115.89,89.32,94.5,60,94.5,110.29,94.5,93.48,71.43,143.47,110.28,100,120.39,94.5,83.33
"201404",89.89,93.12,67.33,150.22,90,129.925,128.35,84.39,107.25,55,84.52,103.54,77.755,50,74.32,80.86,104.915,114.05,80.86,105.66,126.78,105.66,59.87,75,87.64,78.27,89.89,102.96,65.24,69.62,84.52,105.425,85.315,101.49,109.18,104.39,98.21,109.225,78.76,93.395,98.21,85.92,105.66,102.83,100,89.51,74.21,77.28,120,74.32,97.535,83.86,107.4,118.09,125.905,111.11,65,88.98,85.27,68.49,55,89.32,110.355,68.49,91.2,59.87,101.205,95.24,74,88.98,110.1,73.6
"201405",84.77,75.475,73.91,71.23,90,124.95,86.215,69.67,94.53,55.8,55.56,73.91,73.91,50,61.88,50,65.35,99.2,50,55,96.92,103.675,46.445,63.75,85.11,81.545,84.77,89.51,75.95,78.36,72.6,103.605,83.92,97.01,69.67,96.015,71.23,117.725,95,75.29,60.1,78.38,103.675,89.2575,74.84,57.5,63.41,55.525,95,61.88,72.2125,100.59,105.655,100.59,125.59,93.98,84.425,60,84.425,60.775,55.8,60.795,74.53,60.775,61.345,46.445,50,75.15,62.82,75.73,60.775,64.475
"201406",89.76,71.72,75.895,71.33,100,105.27,54.54,51.28,93.61,71.72,55.56,79.85,75.895,60,66.9,75.46,62.84,70.305,75.46,75.46,88.215,75.46,49.275,65,107.905,107.905,89.76,101.56,76.43,76.43,67.28,101.56,82.19,85.11,83.33,101.67,65,90,78,61.88,61.8,85.56,75.46,75.32,75.18,75.18,88.215,88.215,90,66.9,65.15,76.06,88.215,76.06,124.68,98.66,67.33,67.33,71.6125,63.77,71.72,63.77,79.85,63.77,105.27,49.275,60,67.12,62.36,67.33,63.77,88.215
"201407",87.89,78.46,65.67,77.175,100,102.61,61.95,55.5,92.185,70,75.2,71.4225,65.67,60,74.98,74.25,67.545,96.11,74.25,74.25,81.79,74.25,57.62,70,87.89,87.89,87.89,76.67,76.67,76.95,75.2,79.075,81.48,65.765,88.665,102.67,67.5,96.11,96.11,63.895,67.5,77.82,74.25,77.84,81.43,81.43,81.79,81.79,96.11,74.98,65.67,81.1,81.79,105.14,122.16,122.16,65.67,70.95,65.67,67.645,70,67.645,68.54625,67.645,52.36,81.79,60,68.54625,62.5,70.95,65.1,81.79
"201408",95.01,84.35,88.7,75.075,98.78,108.98,88.67,74.08,102.76,75,60,95.4,88.7,65.375,51.25,74.75,69.76,70.88,50,74.75,74.56,74.75,60.83,71.585,120.225,93.34,102.5,97.97,76.185,79.36,82.3,97.97,82.22,68.265,76.185,100.66,62.5,98.37,75.65,65.89,62.975,84.54,65.375,65.375,84.54,65.5,74.56,63.915,75.65,86.235,64.87,72.57,110.5,108.07,123.6,102.84,65.76,73.7,90.25,70.44,75,67.6,95.4,75.5,52.36,64.48,65.5,71.315,62.5,73.7,63.125,57.19
"201409",96.58,94.41,52.41,79.65,40,105.11,96.12,53.19,79.55,70,60,76.07,89.42,50,73.27,65.71,56.71,70.5,40,65.71,74.12,65.71,69.915,60,79.55,79.55,96.58,82.02,76.28,76.28,90.12,82.02,82.75,97.15,87.14,97.15,79.65,84.23,77.365,79.65,50.4,84.23,65.71,74.97,84.23,84.23,74.12,66.585,77.365,73.27,63.26,77.78,66.585,107.09,107.09,104.15,70.585,70.585,80.0025,89.42,70,89.42,64.19,89.42,58.88,74.12,50,52.41,79.65,70.585,89.42,66.585
"201410",80.46,78.46,64.13,81.44,50,109.875,97.19,72.14,80.46,78.46,73.17,78.08,75.71,50,65.04,62.265,54.495,69.515,50,62.265,62.265,62.265,62.265,65,80.46,80.46,80.46,57.16,57.16,57.16,94.28,57.16,57.16,72.765,72.14,97.22,78.33,75.36,96.14,50,49.825,50.92,62.265,69.9975,77.73,77.73,68.52,68.52,80,65.04,60,79.75,60.52,79.75,79.75,105.6,60,68.75,60,78.46,78.46,91.42,78.08,78.46,59.45,62.265,51,64.13,50,68.75,57.16,60.52
"201411",105.12,50.72,95.545,80.03,42.5,107.43,92.01,69.44,90.42,72.5,88.89,80.14,71.6175,55,60,58.64,62.5,68.84,42.5,58.64,89.48,58.64,74.06,65,96.015,115.47,105.12,79.82,79.82,79.82,97.61,79.82,79.82,71.82,69.44,71.82,85.91,74.77,96.555,60.5,40.86,54.015,58.64,66.82,75,50,50.11,68.48,80,70.05,66.64,79.24,66.66,79.24,79.24,105.99,70.125,70.115,70.125,66.36,72.5,73.11,75.29,73.11,46.2,89.48,46.5,64.35,60.5,70.115,63.49,60.18
"201412",120.68,85,96.31,98.5,50,107.4,90.23,76.585,93.33,85,85,82.18,70.25,67.5,67.5,63.34,62.305,80,50,63.34,91.5,63.34,77.42,70,120.68,120.68,92.13,92.13,92.13,92.13,97.34,92.13,92.13,71.18,76.585,115.06,70,79.24,96.07,70,50.95,61.15,55,55,61.15,61.15,50.94,76.29,80,64.325,70.25,90.23,62.77,90.23,90.23,106.31,70.25,70.475,70.25,63.49,85,63.49,94.11,63.49,45.32,91.5,61.15,75.11,70,70.475,63.49,62.77
"201501",131.42,80.06,101.36,91.17,72,130.52,103.635,98.9,164.71,90,85.005,100.83,123.73,85,85,73.25,90.64,80.55,72,80,93.25,73.25,80.11,100,131.42,164.71,131.42,100.08,100.08,100.08,106.245,100.08,100.08,122.3,98.9,122.3,90,89.24,96.19,80.06,90,99.65,73.25,86.45,99.65,80,93.25,90.13,100,93.145,70.81,99.735,75.07,138.39,120.655,107.22,80,79.48,123.73,75.44,90,81.35,86.95,81.35,62.32,80.11,101.29,82.84,90,75,81.35,75.07
"201502",119.64,85,90.49,94.67,88.89,138.995,107.61,107.61,119.64,85,85.65,102.605,84.58,80,80,82.62,87.65,90.17,88.89,82.62,95.075,82.62,88.8475,95,119.64,119.64,119.64,100.35,100.56,100.56,115.74,100.35,100.35,124.72,116.165,124.72,94.67,86.74,105.06,88.0725,80,101.46,82.62,92.04,101.46,80,95.075,84.32,105.06,83.69,70.35,100.27,97.065,139.39,139.39,139.39,87.5,81.475,87.5,81.66,85,81.66,86.94,81.66,56.16,95.075,87.38,90.49,88.0725,81.475,81.66,84.985
"201503",111.75,95.12,103.28,99.41,103.46,143.68,112.055,112.85,111.75,92.5,88.74,101.32,145.21,95,86.63,91.595,88.73,100,85.83,91.595,98.15,91.595,94.8725,90,111.75,111.75,111.75,115.43,115.43,115.43,110.225,110.935,106.44,76.24,112.85,118.95,97.5,74.56,100,90.14,110.26,107.76,95,95,92.315,92.315,122.75,94.465,120,86.63,71.89,95,99.52,95,95,95,120,82.97,145.21,83.53,92.5,86.71,89.25,86.71,58.64,98.15,92.64,103.28,97.5,82.97,86.71,83.72
"201504",122.8675,128.33,105.5,125.0125,122.22,100,86.725,86.725,125.59875,128.33,116.555,135.025,138.42,115.03,115.03,122.22,106.52,128.5,122.22,122.22,122.22,122.22,122.22,100,122.8675,124.233125,121.775,119.59,119.59,119.59,116.555,123.96,128.33,78.84,86.725,125.09,115,130,149.61,115,101.36,83.04,115.03,115.03,83.04,83.04,110.77,110.77,130,99.035,95.8,130.3,110.77,130.3,130.3,130.3,138.42,133.67,138.42,128.33,128.33,133.375,135.025,128.33,100,122.22,83.04,105.5,115,133.67,128.33,110.77
"201505",122.575,115.505,128.8075,95.06,98.96,70,90.09,103.85,111.42,135,100,130.06,146.92,87.5,65,110.43,85.75,82.6,50,125,112.35,110.43,79.62,70,117.685,111.77,117.02,106.34,106.34,120.695,112.64,118.4,130.46,72.69,92.49,101.4,81.285,106.16,100.81,124.19,110.3,110,110.43,110.43,110,100.07,167.54,86.02,160,97.71,98.965,118.2,98,106.985,122.135,101.075,110,137.3,146.92,110.23,135,110.23,74.07,110.23,70,75.25,89.2,110.695,101.25,137.3,110.23,90.485
"201506",130.845,124.15,125.265,186.66,110,141.405,83.885,70.71,121.11,136.975,97.87,132.635,140.21,111.365,110.595,110.8,88.26,98.75,110.8,110.8,100.5,110.8,105.65,100,132.65,152.94,130.845,139.47,139.47,139.47,115.68,137.28,135.09,70.84,111.94,104.805,100,110.48,115.18,118.425,110.16,95.57,110.8,110.8,103.185,97.75,100.5,81.63,135,110.595,103.47,113.25,103.7,104.65,114.255,111.46,150,124.6,140.21,111.49,136.975,111.49,132.635,111.49,98.56,100.5,95.57,110.32,100,124.6,126.1,86.605
"201507",133.33,129.44,124.445,188.07,120,141.34,100.87,80.31,131.665,129.44,98,144.86,141.77,100,110.165,103.565,93.415,92.71,90,103.565,110,103.565,106.7825,102.5,138.3,157.345,133.33,167.06,121.27,130.27,123.2,120,140.25,71.23,121.63,121.04,115,110.175,129.11,110.66,110.22,93.08,103.565,103.565,98.3225,104.24875,80,91.51,135,110.165,135.155,121.75,101.85,121.75,123.45,112.875,141.77,128.54,141.77,128.66,129.05,128.66,144.86,128.66,100.39,110,98.72,107.12,110.66,115,130.17,91.51
"201508",141.3,167.86,142.7,188.64,127.05,141.07,117.71,120.5,144.225,167.86,125,145.03,152.14,107.5,107,109,95.23,105,95,102.5,110.6,109,95.5,120,142.87,172.55,132.735,145.1,155.335,149.78,135.795,145.1,152.105,78.49,147.05,125.375,126.73,110.595,135.61,116.43,116.2,110.925,114.4,125.35,120,100,100,98,135,114.19,108.14,125.75,104.17,125.75,124.315,112.86,137,130.12,152.14,138.5,153.18,112.09,124,131.02,112.4,101.76,100.22,116.585,120,120,141.63,93.47
"201509",155.25,155.275,143.7,189.6,137.66,157.985,127.81,140.92,165.45,155.275,149.3,156.42,151.17,115,108.65,125.33,97.205,120,116.67,120,110.8,125.33,126.4,120,157.4,165.45,145.83,157,183.19,149.88,146.34,157,154.23,88.62,140.92,130.16,101.24,115.32,152.575,120,122.5,124.33,108.005,108.005,124.33,124.33,125,106.93,140,134.37,112.5,127.5,105.665,127.5,131.25,149.015,120,130.62,151.17,139.22,155.275,115.89,136.5,133.33,100.57,105.14,99.89,118.26,120,140,149.265,106.93
"201510",154.495,158.245,142.65,191.24,133.09,161.59,129.85,150.18,152.435,167.625,151.14,165.69,155.8,126.26,126.26,126,138.13,130.86,133.09,130,130,126,130,140,154.47,154.47,154.495,185.63,185.63,158.105,151.14,171.275,156.92,107.31,150.18,134.465,140,150,150,140,125.75,126.26,126,125.57,125.14,125.14,115.29,115.29,150,126.26,115.21,135.3,115.29,135.3,135.3,135.3,120,138.78,155.8,154.955,165,154.955,135,154.955,106.76,130,126.26,142.65,140,138.78,154.955,115.29
"201511",163.145,170,149.55,189.4,156.605,162.75,131.07,112.425,156.055,170,166.255,178.26,190.73,160,130,131.67,152.28,139.64,158.89,131.67,124.5,131.67,150.28,148.5,154.79,154.79,159.88,135.09,169.4,169.4,158.12,170.295,170.405,108.19,165.14,127.54,149.19,141.58,115.755,149.19,120.82,126.585,131.67,136.595,141.52,141.52,124.5,132.15,160,142.14,120.35,140.75,108.33,140.75,137.67,151.995,145.25,137.87,190.73,141.18,170,149.56,162.5,149.56,113.41,150.28,126.585,147.18,149.19,165,158.035,105.21
"201512",176.47,169.31,153.7,198.83,134.25,168.06,190.14,135.5,176.47,169.31,166.66,187.13,155.25,143.35,140,148.5,163.485,141.845,148.5,120,126.5,148.5,150,165,176.47,176.47,179.54,179.54,179.54,179.54,173.46,185.955,192.37,109.41,190.14,135.78,156.77,142.79,185.84,156.77,156.77,143.35,148.5,145.925,143.35,143.35,175,146.71,160,140,125.85,145.28,146.71,145.28,145.28,155.27,155.25,155.25,155.25,161.72,165.515,161.72,160,161.72,120.54,126.5,143.35,153.7,156.77,147.71,161.72,146.71
